1101082013,1101082,23711,Panjupian
1101082014,1101082,23711,Lhok Rukam
1101082015,1101082,23711,Air Pinang
1101082016,1101082,23712,Lhok Bengkuang Timur
1101092001,1101092,23774,Keude Trumon
1101092002,1101092,23774,Ujong Tanoh
1101092003,1101092,23774,Sigleng
1101092004,1101092,23774,Ie Meudama
1101092005,1101092,23774,Tuepin Tinggi
1101092006,1101092,23774,Kuta Baro
1101092007,1101092,23774,Panton Bilie
1101092012,1101092,23774,Kuta Padang
1101092013,1101092,23774,Raket
1101092014,1101092,23774,Gampong Teungoh
1101092015,1101092,23774,Seuneubok Jaya
1101092016,1101092,23774,Padang Harapan
1101102001,1101102,23755,Ladang Teungoh
1101102002,1101102,23755,Pucok Krueng
1101102003,1101102,23755,Silolo
1101102004,1101102,23755,Kampung Baru
1101102005,1101102,23755,Panton Bili
1101102006,1101102,23755,Paya Ateuk
1101102007,1101102,23755,Ladang Tuha
1101102008,1101102,23755,Mata Ie
1101102009,1101102,23755,Ujong Batee
1101102010,1101102,23755,Lhok Sialang Cut
1101102011,1101102,23755,Seuneubok
1101102012,1101102,23755,Ie Mirah
1101102013,1101102,23755,Pasie Rasian
1101102014,1101102,23755,Ujung Padang Rasian
1101102015,1101102,23755,Krueng Kalee
1101102016,1101102,23755,Lhok Sialang Rayeuk
1101102017,1101102,23755,Gampong Baro
1101102018,1101102,23755,Teupin Gajah
1101102019,1101102,23755,Ujung Padang Asahan
1101102020,1101102,23755,Pulo Ie Ii
1101102021,1101102,23755,Pante Raja
1101112001,1101112,23758,Tengah Peulumat
1101112002,1101112,23758,Paya Peulumat
1101112003,1101112,23758,Padang Peulumat
1101112004,1101112,23758,Aur Peulumat
1101112005,1101112,23758,Limau Saring
1101112006,1101112,23758,Beutong
1101112007,1101112,23758,Peuneulop
1101112008,1101112,23758,Gunung Rotan
1101112009,1101112,23758,Keumumu Hilir
1101112010,1101112,23758,Keumumu Hulu
1101112011,1101112,23758,Keumumu Seberang
1101112012,1101112,23758,Sawang Indah
1101122001,1101122,23757,Tutong
1101122002,1101122,23757,Teungoh Iboh
1101122003,1101122,23757,Peulokan
1101122004,1101122,23757,Kuta Iboh
1101122005,1101122,23757,Ujung Padang
1101122006,1101122,23757,Blang Baru
1101122007,1101122,23757,Blang Poroh
1101122008,1101122,23757,Pulo Ie
1101122009,1101122,23757,Suak Lokan
1101122010,1101122,23757,Iku Lhueng
1101122011,1101122,23757,Kuta Trieng
1101122012,1101122,23757,Pante Geulima
1101122013,1101122,23757,Panton Pawoh
1101122014,1101122,23757,Batee Meucanang
1101122015,1101122,23757,Panton Rubek
1101132001,1101132,23770,Koto
1101132002,1101132,23770,Alur Keujrun
1101132003,1101132,23770,Jambo Papan
1101132004,1101132,23770,Malaka
1101132005,1101132,23770,Koto Indarung
1101132006,1101132,23770,Siurai-urai
1101132007,1101132,23770,Kampung Sawah
1101132008,1101132,23770,Kampung Padang
1101132009,1101132,23770,Pulo Air
1101132010,1101132,23770,Lawe Melang
1101132011,1101132,23770,Mersak
1101132012,1101132,23770,Simpang Dua
1101132013,1101132,23770,Simpang Tiga
1101142001,1101142,23779,Paya Dapur
1101142002,1101142,23779,Sapik
1101142003,1101142,23779,Alai
1101142004,1101142,23779,Durian Kawan
1101142005,1101142,23779,Lawe Sawah
1101142006,1101142,23779,Lawe Buluh Didi
1101142007,1101142,23779,Pucuk Lembang
1101142008,1101142,23779,Paya Laba
1101142009,1101142,23779,Lawe Cimanok
1101152001,1101152,23777,Pasie Seubadeh
1101152002,1101152,23777,Ladang Rimba
1101152003,1101152,23777,Ujong Pulo Rayeuk
1101152004,1101152,23777,Sawah Tingkeum
1101152005,1101152,23777,Simpang
1101152006,1101152,23777,Ujong Pulo Cut
1101152008,1101152,23777,Seuleukat
1101162005,1101162,23776,Pinto Rimba
1101162006,1101162,23776,Krueng Luas
1101162007,1101162,23776,Jambo Dalem
1101162008,1101162,23776,Kapa Sesak
1101162009,1101162,23776,Seuneubok Punto
1101162010,1101162,23776,Seuneubok Pusaka
1101162011,1101162,23776,Alur Bujok
1101162012,1101162,23776,Titi Poben
1101172001,1101172,23778,Buket Gadeng
1101172002,1101172,23778,Rambong
1101172003,1101172,23778,Seuneubok Keuranji
1101172004,1101172,23778,Seuneubok Alur Buloh
1101172005,1101172,23778,Ujong Tanoh
1101172006,1101172,23778,Ujong Gunong Cut
1101172007,1101172,23778,Ujong Gunung Rayeuk
1101172008,1101172,23778,Beutong
1101172009,1101172,23778,Jambo Keupok
1101172010,1101172,23778,Alurduamas
1101182001,1101182,23775,Ladang Rimba
1101182002,1101182,23775,Gunong Kapho
1101182003,1101182,23775,Kampong Teungoh
1101182004,1101182,23775,Krueng Batee
1101182005,1101182,23775,Pulo Paya
1101182006,1101182,23775,Jambo Papeun
1101182007,1101182,23775,Cot Bayu
1101182008,1101182,23775,Naca
1101182009,1101182,23775,Ie Jeureuneh
1101182010,1101182,23775,Lhok Raya
1102012001,1102012,24661,Engkeran
1102012002,1102012,24661,Rumah Kampung
1102012004,1102012,24661,Pasir Bangun
1102012006,1102012,24661,Kubu
1102012007,1102012,24661,Lawe Kongker
1102012008,1102012,24661,Kuta Cingkam Ii
1102012009,1102012,24661,Muara Baru
1102012011,1102012,24661,Kuta Batu I
1102012012,1102012,24661,Kuta Cingkam I
1102012013,1102012,24661,Kuta Batu Ii
1102012014,1102012,24661,Lawe Sempilang
1102012015,1102012,24661,Prapat Batu Nunggul
1102012016,1102012,24661,Pulo Sepang
1102012017,1102012,24661,Rih Mbelang
1102012018,1102012,24661,Kute Batu Baru
1102012019,1102012,24661,Darul Amin
1102012020,1102012,24661,Lawe Lubang Indah
1102012021,1102012,24661,Batu Hamparan
1102012022,1102012,24661,Paye Munje
1102012023,1102012,24661,Pulo Ndapdap
1102012024,1102012,24661,Pasir Nunggul
1102012025,1102012,24661,Cingkham Mekhanggun
1102012026,1102012,24661,Pintu Khimbe
1102012027,1102012,24661,Lawe Kongker Hilir
1102012028,1102012,24661,Pulo Gadung
1102012029,1102012,24661,Pasikh Pehkmate
1102012030,1102012,24661,Pasikh Nunang
1102012031,1102012,24661,Deleng Kukusen
1102022001,1102022,24676,Bukit Merdeka
1102022002,1102022,24676,Darul Aman
1102022003,1102022,24676,Lawe Kesumpat
1102022004,1102022,24676,Lawe Tua Gabungan
1102022005,1102022,24676,Lawe Sigala Ii
1102022006,1102022,24676,Lawe Sigala Timur
1102022007,1102022,24676,Lawe Sigala Barat
1102022008,1102022,24676,Suka Damai
1102022009,1102022,24676,Kute Tengah
1102022010,1102022,24676,Tanah Baru
1102022011,1102022,24676,Kedataran Gabungan
1102022012,1102022,24676,Gabungan Parsaroan
1102022013,1102022,24676,Lawe Loning Gabungan
1102022014,1102022,24676,Lawe Loning Aman
1102022015,1102022,24676,Suka Maju
1102022016,1102022,24676,Lawe Tua Makmur
1102022017,1102022,24676,Lawe Tua Persatuan
1102022018,1102022,24676,Lawe Serke
1102022019,1102022,24676,Lawe Rakat
1102022020,1102022,24676,Suka Jaya
1102022021,1102022,24676,Enmiya Batu Dua Ratus
1102022022,1102022,24676,Sebungke
1102022023,1102022,24676,Bukit Sepakat
1102022024,1102022,24676,Lawe Loning Sepakat
1102022025,1102022,24676,Lawe Loning I
1102022026,1102022,24676,Gaya Jaya
1102022027,1102022,24676,Gelah Musara
1102022028,1102022,24676,Mulie Dame
1102022029,1102022,24676,Lawe Loning Hakhapen
1102022030,1102022,24676,Karya Indah
1102022031,1102022,24676,Kayu Mbelin
1102022032,1102022,24676,Lawe Sigala Barat Jaya
1102022033,1102022,24676,Lawe Pekhidinen
1102022034,1102022,24676,Kertimbang
1102022035,1102022,24676,Ndauh Nitenggo
1102032001,1102032,24672,Bambel Gabungan
1102032002,1102032,24672,Kisam
1102032005,1102032,24672,Lawe Hijo
1102032006,1102032,24672,Pinding
1102032009,1102032,24672,Terutung Megara Asli
1102032011,1102032,24672,Biak Muli
1102032012,1102032,24672,Kute Lang-lang
1102032013,1102032,24672,Pedesi
1102032014,1102032,24672,Terutung Payung Hulu
1102032015,1102032,24672,Terutung Payung Hilir
1102032016,1102032,24672,Tualang Sembilar
1102032017,1102032,24672,Kuning I
1102032018,1102032,24672,Kuning Ii
1102032019,1102032,24672,Cinta Damai
1102032020,1102032,24672,Likat
1102032021,1102032,24672,Rikit
1102032023,1102032,24672,Bambel
1102032025,1102032,24672,Lawe Kihing
1102032026,1102032,24672,Terutung Seperai
1102032027,1102032,24672,Kute Seri
1102032028,1102032,24672,Kuta Antara
1102032029,1102032,24672,Pulo Perengge
1102032031,1102032,24672,Pulo Kendondong
1102032033,1102032,24672,Pancakh Iman
1102032034,1102032,24672,Biak Muli Baru
1102032035,1102032,24672,Biak Muli Pantai Raja
1102032036,1102032,24672,Biak Muli Sejahtera
1102032037,1102032,24672,Lembah Haji
1102032038,1102032,24672,Terutung Payunggabungan
1102032039,1102032,24672,Lawe Hijo Metuah
1102032040,1102032,24672,Ampera
1102032041,1102032,24672,Tembilakh Mbakhu
1102032042,1102032,24672,Kute Lang-lang Bakhu
1102042001,1102042,24664,Kota Kutacane
1102042002,1102042,24664,Perapat Hilir
1102042003,1102042,24664,Perapat Hulu
1102042004,1102042,24664,Muara Lawe Bulan
1102042005,1102042,24664,Mbarung
1102042006,1102042,24664,Batu Mbulan Asli
1102042007,1102042,24664,Batu Mbulan I
1102042008,1102042,24664,Batu Mbulan Ii
1102042009,1102042,24664,Kampung Raja
1102042010,1102042,24664,Pulonas
1102042011,1102042,24664,Kampung Melayu Gabungan
1102042012,1102042,24664,Terutung Pedi
1102042013,1102042,24664,Kute Rih
1102042014,1102042,24664,Gumpang Jaya
1102042015,1102042,24664,Pulo Latong
1102042016,1102042,24664,Kutacane Lama
1102042017,1102042,24664,Batu Mbulan Mbaru
1102042018,1102042,24664,Pulo Peding
1102042019,1102042,24664,Mendabe
1102042020,1102042,24664,Ujung Barat
1102042021,1102042,24664,Pekhapat Titi Panjang
1102042022,1102042,24664,Pekhapat Sepakat
1102042023,1102042,24664,Alas Marantcar
1102042024,1102042,24664,Batu Mbulan Sepakat
1102042025,1102042,24664,Pulo Sanggakh
1102042026,1102042,24664,Melayu I
1102042027,1102042,24664,Mbarung Datuk Saudane
1102052005,1102052,24666,Salang Alas
1102052009,1102052,24666,Kuta Pasir
1102052011,1102052,24666,Purwodadi
1102052012,1102052,24666,Kuta Tinggi
1102052013,1102052,24666,Kampung Baru
1102052014,1102052,24666,Peranginan
1102052015,1102052,24666,Natam
1102052025,1102052,24666,Kumbang Jaya
1102052026,1102052,24666,Kumbang Indah
1102052027,1102052,24666,Natam Baru
1102052029,1102052,24666,Deleng Megakhe
1102052030,1102052,24666,Lawe Bekung
1102052031,1102052,24666,Lawe Bekung Tampahan
1102052032,1102052,24666,Badar Indah
1102052033,1102052,24666,Batu Mbekhong
1102052034,1102052,24666,Tanah Merah
1102052035,1102052,24666,Tanoh Megakhe
1102052036,1102052,24666,Lawe Sekerah
1102062001,1102062,24673,Pardomuan Ii
1102062002,1102062,24673,Lawe Desky I
1102062003,1102062,24673,Lawe Desky Sabas
1102062004,1102062,24673,Pardomuan I
1102062005,1102062,24673,Cinta Damai
1102062006,1102062,24673,Pardamean
1102062007,1102062,24673,Lawe Desky Tongah
1102062008,1102062,24673,Kute Bakti
1102062010,1102062,24673,Muara Situlen
1102062011,1102062,24673,Sejahtera
1102062012,1102062,24673,Kute Makmur
1102062013,1102062,24673,Pardamean
1102062014,1102062,24673,Lawe Mantik
1102062015,1102062,24673,Cinta Makmur
1102062016,1102062,24673,Muara Setia
1102062017,1102062,24673,Tanoh Alas
1102062018,1102062,24673,Sejahtera Baru
1102062024,1102062,24673,Lawe Tawakh
1102062025,1102062,24673,Sabilussalam
1102062026,1102062,24673,Lawe Desky Jaya
1102062027,1102062,24673,Pintu Alas
1102072001,1102072,24663,Gulo
1102072002,1102072,24663,Pulo Piku
1102072003,1102072,24663,Terutung Kute
1102072004,1102072,24663,Kute Ujung
1102072005,1102072,24663,Lawe Stul
1102072006,1102072,24663,Kite Merangun
1102072007,1102072,24663,Mamas
1102072008,1102072,24663,Tanjung Lama
1102072009,1102072,24663,Tanjung Muda
1102072010,1102072,24663,Rambung Teldak
1102072011,1102072,24663,Tanjung Aman
1102072012,1102072,24663,Sri Muda
1102072013,1102072,24663,Ujung Baru
1102072014,1102072,24663,Kute Rambe
1102072015,1102072,24663,Mamas Baru
1102072016,1102072,24663,Rambung Jaya
1102072017,1102072,24663,Makmur Jaya
1102072018,1102072,24663,Darul Makmur
1102072019,1102072,24663,Tanjung Bakhu
1102072020,1102072,24663,Pulo Gabung
1102072021,1102072,24663,Kokhtan Jaya
1102072022,1102072,24663,Istiqamah
1102072023,1102072,24663,Lawe Mamas Indah
1102072024,1102072,24663,Tanjung Leuser
1102072025,1102072,24663,Simpang Iv Tanjung
1102072026,1102072,24663,Lawe Pinis
1102072027,1102072,24663,Buntul Kendawi
1102072028,1102072,24663,Kuning Abadi
1102082001,1102082,24665,Pasir Gala
1102082002,1102082,24665,Pasir Penjengakan
1102082003,1102082,24665,Kutambaru
1102082004,1102082,24665,Lawe Sagu Hulu
1102082005,1102082,24665,Lawe Sagu Hilir
1102082006,1102082,24665,Kute Bantil
1102082011,1102082,24665,Lawe Kolok
1102082012,1102082,24665,Lawe Rutung
1102082013,1102082,24665,Kampung Nangka
1102082014,1102082,24665,Tenembak Juhar
1102082015,1102082,24665,Simpang Empat
1102082016,1102082,24665,Kuta Buluh Botong
1102082017,1102082,24665,Katambaru Becawan
1102082018,1102082,24665,Lawe Kinge
1102082019,1102082,24665,Kandang Mbelang Mandiri
1102082020,1102082,24665,Mbacang Racun
1102082021,1102082,24665,Telaga Mekar
1102082023,1102082,24665,Pulonas Baru
1102082025,1102082,24665,Kuta Genting
1102082026,1102082,24665,Lawe Sagu Baru
1102082027,1102082,24665,Lawe Sagu
1102082028,1102082,24665,Pekhapet Timur
1102082029,1102082,24665,Bahagia
1102082030,1102082,24665,Kute Galuh Asli
1102092001,1102092,24671,Kute Lengat Pangan
1102092002,1102092,24671,Kute Lengat Selian
1102092003,1102092,24671,Tualang Baru
1102092004,1102092,24671,Alur Buluh
1102092005,1102092,24671,Maha Singkil
1102092006,1102092,24671,Tenembak Bintang
1102092007,1102092,24671,Kute Lingga
1102092008,1102092,24671,Rikit Bur
1102092010,1102092,24671,Kerukunan
1102092011,1102092,24671,Lawe Dua
1102092012,1102092,24671,Rema
1102092013,1102092,24671,Bambel Baru
1102092014,1102092,24671,Pejuang
1102092015,1102092,24671,Darussalam
1102092016,1102092,24671,Amaliah
1102092017,1102092,24671,Sebudi Jaya
1102092018,1102092,24671,Gumpang
1102092019,1102092,24671,Kute Gekhat
1102092020,1102092,24671,Paye Khambung
1102092021,1102092,24671,Mbak Sako
1102092022,1102092,24671,Darul Imami
1102092023,1102092,24671,Rikit Bur Ii
1102092024,1102092,24671,Kute Empat Lima
1102102001,1102102,24678,Simpang Semadam
1102102002,1102102,24678,Semadam Awal
1102102003,1102102,24678,Semadam Asal
1102102004,1102102,24678,Lawe Kinga Gabungan
1102102005,1102102,24678,Lawe Kinga Tebing Tinggi
1102102006,1102102,24678,Kebun Sere
1102102007,1102102,24678,Lawe Beringin Horas
1102102008,1102102,24678,Lawe. Berigin Gayo
1102102009,1102102,24678,Suka Makmur
1102102010,1102102,24678,Pasar Puntung
1102102011,1102102,24678,Titi Pasir
1102102012,1102102,24678,Lawe Petanduk I
1102102013,1102102,24678,Ngkeran Alur Buluh
1102102014,1102102,24678,Kampung Baru
1102102015,1102102,24678,Sepakat Segenap
1102102016,1102102,24678,Selamat Indah
1102102017,1102102,24678,Lawe Kinge Lapter
1102102018,1102102,24678,Lawe Mejile
1102102019,1102102,24678,Lawe Petanduk-ii
1102112004,1102112,24675,Titi Mas
1102112005,1102112,24675,Meranti
1102112006,1102112,24675,Kute Lang-lang
1102112007,1102112,24675,Lawe Sumur
1102112008,1102112,24675,Pardamaian
1102112009,1102112,24675,Salim Pipit
1102112010,1102112,24675,Penguhapan
1102112011,1102112,24675,Lumban Tua
1102112012,1102112,24675,Mutiara Damai
1102112013,1102112,24675,Dolok Nauli
1102112014,1102112,24675,Tuhi Jongkat
1102112015,1102112,24675,Uning Sigugur
1102112016,1102112,24675,Lumban Sitio-tio
1102112017,1102112,24675,Lawe Malum
1102112018,1102112,24675,Alur Baning
1102112019,1102112,24675,Lingga Alas
1102112020,1102112,24675,Khambung Tumbung
1102112021,1102112,24675,Tuah Mesade
1102112022,1102112,24675,Sumukh Alas
1102112023,1102112,24675,Alukh Bakhu
1102112024,1102112,24675,Sepekhinding
1102112025,1102112,24675,Tanoh Subukh
1102112026,1102112,24675,Pinggan Mbelang
1102112027,1102112,24675,Sigai Indah
